"DA","PA","TB","TS","RH","PM","RR","max90","Gruppe"
191.5227,83.10198,11.9707,15.9,54.59565,15.75227,0.4490028,2245,"C"
120.6126,116.2572,12.46455,13.7,67.41228,19.35188,0.4905528,3052,"C"
118.8711,92.359,13.339,12.9,68.55615,15.22056,0.3637516,2464,"D"
247.4352,47.00599,14.94351,16.6,49.53324,8.453838,0.3785835,873.1,"C"
135.5301,114.9537,0.4349742,5.7,60.33653,18.65467,0.5473079,1063,"A"
59.8239,117.5434,5.658052,7.1,64.14205,19.52219,0.2813953,928.7,"B"
467.9761,119.8793,6.085191,10.4,62.08745,18.75668,0.5676267,4290,"B"
833.0817,121.3029,7.029291,9.8,61.57394,18.88897,0.4949821,8068,"B"
347.7503,45.31841,16.16014,16.6,61.60405,8.171844,0.3604758,2137,"D"
54.0108,141.0939,7.103163,10.8,61.03008,22.13619,0.4860835,1685,"B"
337.6305,143.8948,10.27165,16.4,52.67846,21.4819,0.3442838,7262,"C"
785.8926,118.6493,13.7511,12,65.69093,19.06213,0.3067186,29950,"D"
273.5145,128.2768,12.34695,11.9,65.44416,19.66699,0.2502607,9639,"C"
572.3766,186.8843,10.5137,11.2,62.4831,26.05835,0.4928401,22950,"C"
105.4035,173.543,11.40471,11.6,73.55209,24.15821,0.2892157,4655,"C"
1943.12,157.4292,9.999895,13.1,62.3022,22.3603,0.4536041,41260,"C"
1577.962,282.6377,10.97141,11.7,69.5713,37.37024,0.3662487,81900,"D"
142.182,305.1771,9.259688,10.1,79.75635,33.69052,0.3337596,6872,"C"
294.2235,211.7884,9.701942,10.4,76.96371,21.60558,0.3494118,12250,"C"
769.8996,305.1747,9.670442,10.8,82.24598,33.75651,0.10477,30850,"C"
405.0063,178.3881,5.247619,9.6,77.36964,19.3881,0.5262913,3891,"B"
171.675,248.2456,5.396637,8.6,81.63148,27.17093,0.5137707,5114,"B"
146.9715,317.2837,6.22243,6.8,84.20114,34.82767,0.459605,7332,"B"
349.9983,235.9702,5.218549,8.8,72.49388,23.2593,0.1656504,9549,"B"
102.7983,269.7934,4.923145,7,75.40327,26.75109,0.4725371,3610,"B"
34.7184,268.4376,6.334912,6.8,75.00301,25.90286,0.5350109,1913,"B"
683.7525,303.6789,8.535089,9.6,71.15472,31.63782,0.306491,27520,"C"
273.8205,232.5618,5.061309,8.1,70.20245,21.80692,0.5224696,6534,"B"
398.4354,313.9735,5.472355,8.2,70.17121,31.91742,0.4440173,12830,"B"
1855.317,276.5835,6.194384,9.2,70.14084,27.52962,0.3517749,44120,"B"
2939.194,127.0695,2.587058,5.9,64.70524,11.59129,0.3770104,28440,"A"
470.2338,103.6681,5.631268,8.1,65.80987,8.737717,0.4704981,2323,"B"
867.4833,122.6399,5.669456,7.5,67.01501,10.78446,0.4053555,9308,"B"
2325.166,120.576,6.252543,8.5,66.01047,10.74958,0.351773,26320,"B"
2678.972,127.6741,5.679959,7.6,68.20926,12.04074,0.4346247,22000,"B"
830.5974,173.1666,5.240378,7.9,67.78732,16.97692,0.4981993,12620,"B"
205.1703,172.3436,3.892753,5.7,69.17548,18.44323,0.5039872,2324,"B"
1161.929,81.11167,1.397425,3.2,52.69589,8.271733,0.4180328,4435,"A"
133.1838,51.38936,6.274694,8.6,57.5905,4.968067,0.4962162,74.91,"B"
2154.389,92.76777,4.629593,7.5,62.69899,9.876296,0.4084192,9982,"B"
1163.229,101.1891,3.560379,6,64.17519,10.97267,0.4636495,6576,"A"
125.5698,120.8178,2.898263,3.5,64.05566,11.94414,0.5070299,1728,"A"
561.9358,111.9742,2.539529,3.9,63.94161,12.569,0.5618557,3961,"A"
3053.417,129.8374,3.996655,8.8,65.97108,12.51258,0.532345,24240,"A"
